CLASS, KEYWRD_CLASS, ~placeholder~, ~placeholder~
LargestCommonDenominator, _VAR, ~placeholder~, ~placeholder~
{, LEFTBRACK, ~placeholder~, ~placeholder~
CONST, KEYWRD_CONST, ~placeholder~, ~placeholder~
M, _VAR, ~placeholder~, ~placeholder~
=, _ASSIGN, ~placeholder~, ~placeholder~
7, _DIGIT, ~placeholder~, ~placeholder~
,, _COMMA, ~placeholder~, ~placeholder~
N, _VAR, ~placeholder~, ~placeholder~
=, _ASSIGN, ~placeholder~, ~placeholder~
85, _DIGIT, ~placeholder~, ~placeholder~
;, _SEMICOLON, ~placeholder~, ~placeholder~
VAR, KEYWRD_VAR, ~placeholder~, ~placeholder~
X, _VAR, ~placeholder~, ~placeholder~
,, _COMMA, ~placeholder~, ~placeholder~
Y, _VAR, ~placeholder~, ~placeholder~
,, _COMMA, ~placeholder~, ~placeholder~
Z, _VAR, ~placeholder~, ~placeholder~
,, _COMMA, ~placeholder~, ~placeholder~
Q, _VAR, ~placeholder~, ~placeholder~
,, _COMMA, ~placeholder~, ~placeholder~
R, _VAR, ~placeholder~, ~placeholder~
;, _SEMICOLON, ~placeholder~, ~placeholder~
//, _COMMENT, ~placeholder~, ~placeholder~
TestComment, _VAR, ~placeholder~, ~placeholder~
PROCEDURE, KEYWRD_PROCEDURE, ~placeholder~, ~placeholder~
Multiply, _VAR, ~placeholder~, ~placeholder~
(, LEFTPARHEN, ~placeholder~, ~placeholder~
), RIGHTPARHEN, ~placeholder~, ~placeholder~
{, LEFTBRACK, ~placeholder~, ~placeholder~
VAR, KEYWRD_VAR, ~placeholder~, ~placeholder~
A, _VAR, ~placeholder~, ~placeholder~
,, _COMMA, ~placeholder~, ~placeholder~
B, _VAR, ~placeholder~, ~placeholder~
;, _SEMICOLON, ~placeholder~, ~placeholder~
A, _VAR, ~placeholder~, ~placeholder~
=, _ASSIGN, ~placeholder~, ~placeholder~
X, _VAR, ~placeholder~, ~placeholder~
;, _SEMICOLON, ~placeholder~, ~placeholder~
B, _VAR, ~placeholder~, ~placeholder~
=, _ASSIGN, ~placeholder~, ~placeholder~
Y, _VAR, ~placeholder~, ~placeholder~
;, _SEMICOLON, ~placeholder~, ~placeholder~
Z, _VAR, ~placeholder~, ~placeholder~
=, _ASSIGN, ~placeholder~, ~placeholder~
0, _DIGIT, ~placeholder~, ~placeholder~
;, _SEMICOLON, ~placeholder~, ~placeholder~
WHILE, KEYWRD_WHILE, ~placeholder~, ~placeholder~
B, _VAR, ~placeholder~, ~placeholder~
>, _relOP, ~placeholder~, ~placeholder~
0, _DIGIT, ~placeholder~, ~placeholder~
DO, KEYWRD_DO, ~placeholder~, ~placeholder~
{, LEFTBRACK, ~placeholder~, ~placeholder~
IF, KEYWRD_IF, ~placeholder~, ~placeholder~
ODD, KEYWRD_ODD, ~placeholder~, ~placeholder~
B, _VAR, ~placeholder~, ~placeholder~
THEN, KEYWRD_THEN, ~placeholder~, ~placeholder~
Z, _VAR, ~placeholder~, ~placeholder~
=, _ASSIGN, ~placeholder~, ~placeholder~
Z, _VAR, ~placeholder~, ~placeholder~
+, _addOP, ~placeholder~, ~placeholder~
A, _VAR, ~placeholder~, ~placeholder~
;, _SEMICOLON, ~placeholder~, ~placeholder~
A, _VAR, ~placeholder~, ~placeholder~
=, _ASSIGN, ~placeholder~, ~placeholder~
2, _DIGIT, ~placeholder~, ~placeholder~
*, _mOP, ~placeholder~, ~placeholder~
A, _VAR, ~placeholder~, ~placeholder~
;, _SEMICOLON, ~placeholder~, ~placeholder~
B, _VAR, ~placeholder~, ~placeholder~
=, _ASSIGN, ~placeholder~, ~placeholder~
B, _VAR, ~placeholder~, ~placeholder~
/, _mOP, ~placeholder~, ~placeholder~
2, _DIGIT, ~placeholder~, ~placeholder~
;, _SEMICOLON, ~placeholder~, ~placeholder~
}, RIGHTBRACK, ~placeholder~, ~placeholder~
}, RIGHTBRACK, ~placeholder~, ~placeholder~
/*, _LCOMMENT, ~placeholder~, ~placeholder~
Stuff, _VAR, ~placeholder~, ~placeholder~
*/, _RCOMMENT, ~placeholder~, ~placeholder~
PROCEDURE, KEYWRD_PROCEDURE, ~placeholder~, ~placeholder~
Divide, _VAR, ~placeholder~, ~placeholder~
(, LEFTPARHEN, ~placeholder~, ~placeholder~
), RIGHTPARHEN, ~placeholder~, ~placeholder~
{, LEFTBRACK, ~placeholder~, ~placeholder~
VAR, KEYWRD_VAR, ~placeholder~, ~placeholder~
W, _VAR, ~placeholder~, ~placeholder~
;, _SEMICOLON, ~placeholder~, ~placeholder~
R, _VAR, ~placeholder~, ~placeholder~
=, _ASSIGN, ~placeholder~, ~placeholder~
X, _VAR, ~placeholder~, ~placeholder~
;, _SEMICOLON, ~placeholder~, ~placeholder~
Q, _VAR, ~placeholder~, ~placeholder~
=, _ASSIGN, ~placeholder~, ~placeholder~
0, _DIGIT, ~placeholder~, ~placeholder~
;, _SEMICOLON, ~placeholder~, ~placeholder~
W, _VAR, ~placeholder~, ~placeholder~
=, _ASSIGN, ~placeholder~, ~placeholder~
Y, _VAR, ~placeholder~, ~placeholder~
;, _SEMICOLON, ~placeholder~, ~placeholder~
WHILE, KEYWRD_WHILE, ~placeholder~, ~placeholder~
W, _VAR, ~placeholder~, ~placeholder~
<=, _relOP, ~placeholder~, ~placeholder~
R, _VAR, ~placeholder~, ~placeholder~
DO, KEYWRD_DO, ~placeholder~, ~placeholder~
W, _VAR, ~placeholder~, ~placeholder~
=, _ASSIGN, ~placeholder~, ~placeholder~
2, _DIGIT, ~placeholder~, ~placeholder~
*, _mOP, ~placeholder~, ~placeholder~
W, _VAR, ~placeholder~, ~placeholder~
;, _SEMICOLON, ~placeholder~, ~placeholder~
WHILE, KEYWRD_WHILE, ~placeholder~, ~placeholder~
W, _VAR, ~placeholder~, ~placeholder~
>, _relOP, ~placeholder~, ~placeholder~
Y, _VAR, ~placeholder~, ~placeholder~
DO, KEYWRD_DO, ~placeholder~, ~placeholder~
{, LEFTBRACK, ~placeholder~, ~placeholder~
Q, _VAR, ~placeholder~, ~placeholder~
